ID_Commessa;Data\Ora;Alarm;Periferica;Valore;Codice;Descrizione
2;2025-03-05 19:28:00;Silent Warning;Satellite2;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:23:00;Silent Warning;Satellite3;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:23:00;Silent Warning;Satellite3;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:19:00;Silent Warning;Satellite3;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:19:00;Silent Warning;Satellite3;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:13:00;Silent Warning;Satellite3;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:13:00;Silent Warning;Satellite3;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:12:00;Silent Warning;Satellite4;OFF;DB126.DBX4.0;#33 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:12:00;Silent Warning;Satellite4;ON;DB126.DBX4.0;#33 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:09:00;Silent Warning;Satellite3;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:09:00;Silent Warning;Satellite3;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:09:00;Silent Warning;Satellite2;OFF;DB126.DBX4.0;#33 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:09:00;Silent Warning;Satellite2;OFF;DB126.DBX4.1;#34 - Attivata correzione per aumento velocità
2;2025-03-05 19:09:00;Silent Warning;Satellite2;ON;DB126.DBX4.0;#33 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:09:00;Silent Warning;Satellite2;ON;DB126.DBX4.1;#34 - Attivata correzione per aumento velocità
2;2025-03-05 19:08:00;Alarm;Satellite2;OFF;DB106.DBX12.3;#3 -  Generale -  Macchina in manuale con missioni appese
2;2025-03-05 19:08:00;Alarm;Satellite2;ON;DB106.DBX12.3;#3 -  Generale -  Macchina in manuale con missioni appese
2;2025-03-05 19:08:00;Alarm;Satellite2;OFF;DB106.DBX14.6;#2006 -  Hardware -  Azionamento di trazione in errore
2;2025-03-05 19:08:00;Alarm;Satellite2;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
2;2025-03-05 19:07:00;Alarm;Satellite2;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
2;2025-03-05 19:07:00;Alarm;Satellite2;ON;DB106.DBX14.6;#2006 -  Hardware -  Azionamento di trazione in errore
2;2025-03-05 19:07:00;Silent Warning;Satellite2;OFF;DB126.DBX4.1;#34 - Attivata correzione per aumento velocità
2;2025-03-05 19:07:00;Silent Warning;Satellite2;ON;DB126.DBX4.1;#34 - Attivata correzione per aumento velocità
2;2025-03-05 19:07:00;Warning;Satellite2;OFF;DB116.DBX7.4;#412 - Ingresso - Barcode non varia durante il movimento
2;2025-03-05 19:07:00;Warning;Satellite2;ON;DB116.DBX7.4;#412 - Ingresso - Barcode non varia durante il movimento
2;2025-03-05 19:07:00;Silent Warning;Satellite2;OFF;DB126.DBX6.1;#50 - Attivata correzione per aumento velocità
2;2025-03-05 19:07:00;Silent Warning;Satellite2;ON;DB126.DBX6.1;#50 - Attivata correzione per aumento velocità
2;2025-03-05 19:07:00;Alarm;Satellite2;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
2;2025-03-05 19:04:00;Silent Warning;Satellite3;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 19:04:00;Silent Warning;Satellite3;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
