Data\Ora;Tipologia;Periferica;Valore;Codice;Descrizione
09/05/2025 00:37:06;;7N0102;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:37:06;;7S0102;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:37:02;;7S0102;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:37:02;;7N0102;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:37:01;;7S0102;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:37:01;;7N0102;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:36:59;;7S0102;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:36:59;;7N0102;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:36:53;;7S0102;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:36:52;;7N0102;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:36:51;;7N0102;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:36:51;;7S0102;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:36:20;;7N0103;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:36:20;;7N0103;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 00:36:20;;7N0102;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 00:36:20;;7N0101;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 00:36:20;;7S0101;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 00:36:20;;7S0101;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:36:19;;7N0102;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:36:19;;7S0102;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:36:19;;7S0102;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 00:36:19;;7N0101;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:36:19;;7S0103;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:36:19;;7S0103;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 00:32:24;;7N0102;ON;DB106.DBX0.1;#1002 - Missione Prelievo UDC - Tempo massimo di esecuzione raggiunto
09/05/2025 00:29:19;;7N0102;OFF;DB106.DBX0.1;#1002 - Missione Prelievo UDC - Tempo massimo di esecuzione raggiunto
09/05/2025 00:22:29;;7N0102;ON;DB106.DBX0.1;#1002 - Missione Prelievo UDC - Tempo massimo di esecuzione raggiunto
09/05/2025 00:19:20;;7N0102;OFF;DB106.DBX0.1;#1002 - Missione Prelievo UDC - Tempo massimo di esecuzione raggiunto
09/05/2025 00:19:19;;7S0101;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 00:19:19;;7S0101;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
